period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,FLYBE LTD,S,48,10,0,25.862069,37.931034,6.896552,5.172414,6.896552,0,0,0,17.241379,14.104167,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,NETJETS TRANSPORTES AEREOS,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LIVERPOOL (JOHN LENNON),EASYJET UK LTD,S,54,0,5.555556,68.518519,9.259259,5.555556,7.407407,3.703704,0,0,0,0,7.648148,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,116,0,38.793103,37.068966,18.965517,0.862069,4.310345,0,0,0,0,0,2.62931,97.169811,1.726415
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,HEATHROW,AER LINGUS,S,128,2,3.846154,45.384615,34.615385,7.692308,1.538462,5.384615,0,0,0,1.538462,8.578125,95.070423,1.857143
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,228,4,3.017241,34.913793,32.327586,15.948276,6.896552,3.448276,0.862069,0.862069,0,1.724138,14.214912,93.939394,2.29798
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,HEATHROW,FLYBE LTD,S,94,21,1.73913,17.391304,33.043478,9.565217,10.434783,6.086957,3.478261,0,0,18.26087,21.829787,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,S,122,0,27.04918,54.098361,13.934426,0,3.278689,1.639344,0,0,0,0,3.877049,97.590361,0.915663
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,AER LINGUS,S,200,4,26.470588,53.431373,13.72549,1.470588,0.980392,1.470588,0.490196,0,0,1.960784,3.17,93.902439,0.666667
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,EMERALD AIRLINES UK LTD,S,8,0,12.5,37.5,25,12.5,12.5,0,0,0,0,0,10.625,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,FLYBE LTD,S,56,7,3.174603,28.571429,26.984127,7.936508,11.111111,6.349206,4.761905,0,0,11.111111,22.107143,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NEWCASTLE,FLYBE LTD,S,48,10,18.965517,36.206897,20.689655,5.172414,1.724138,0,0,0,0,17.241379,3.041667,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NEWQUAY,FLYBE LTD,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,SOUTHAMPTON,AER LINGUS,S,36,0,8.333333,52.777778,30.555556,2.777778,0,5.555556,0,0,0,0,6.444444,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,SOUTHAMPTON,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,90.909091,2.207547
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,SOUTHAMPTON,EMERALD AIRLINES UK LTD,S,80,0,6.25,46.25,43.75,3.75,0,0,0,0,0,0,2.2125,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,22,2,16.666667,58.333333,8.333333,0,0,8.333333,0,0,0,8.333333,8.954545,100,0
123,BELFAST CITY (GEORGE BEST),ITALY,VERONA VILLAFRANCA,AER LINGUS,C,8,0,12.5,37.5,25,12.5,12.5,0,0,0,0,0,7.25,0,0
123,BELFAST CITY (GEORGE BEST),MALTA,MALTA,FLYBE LTD,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0
123,BELFAST CITY (GEORGE BEST),NETHERLANDS,AMSTERDAM,FLYBE LTD,S,50,7,1.754386,15.789474,26.315789,10.526316,12.280702,12.280702,5.263158,3.508772,0,12.280702,41.02,0,0
123,BELFAST CITY (GEORGE BEST),NETHERLANDS,AMSTERDAM,KLM,S,44,0,0,20.454545,59.090909,18.181818,2.272727,0,0,0,0,0,8.340909,83.333333,5.5
123,BELFAST INTERNATIONAL,BARBADOS,BRIDGETOWN,TUI AIRWAYS LTD,C,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
