flight_id,period_id,airport_id,city_id,airline_id,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,flights_unmatched_percent,previous_year_month_flights_matched
167,123,2004,567,1136,S,26,1,11.111111,44.444444,25.925926,3.703704,3.703704,7.407407,0,0,0,3.703704,10.769231,0,62.428571,,
168,123,2004,668,1136,S,26,0,15.384615,46.153846,11.538462,23.076923,3.846154,0,0,0,0,0,8.461538,0,53,,
169,123,2004,734,1137,C,0,0,0,0,0,0,0,0,0,0,0,0,0,91.666667,7.333333,,
170,123,2004,672,1138,S,1,0,0,0,0,0,100,0,0,0,0,0,33,0,0,,
171,123,2004,555,1139,S,1,0,0,0,0,0,100,0,0,0,0,0,40,0,0,,
172,123,2004,974,1139,S,1,0,0,0,0,0,100,0,0,0,0,0,40,0,0,,
173,123,2004,677,1140,S,125,0,4.8,14.4,49.6,22.4,8.8,0,0,0,0,0,12.384,73.333333,11.988889,,
174,123,2004,726,1122,S,20,0,5,30,50,5,5,5,0,0,0,0,10.8,92.857143,5.142857,,
175,123,2004,903,1122,S,11,0,9.090909,36.363636,27.272727,9.090909,18.181818,0,0,0,0,0,12.454545,50,14.4,,
176,123,2004,686,1122,C,1,0,0,100,0,0,0,0,0,0,0,0,0,100,5,,
177,123,2004,554,1111,S,108,0,5.555556,35.185185,30.555556,8.333333,15.740741,4.62963,0,0,0,0,13.851852,86.363636,7.5,,
178,123,2004,973,1111,S,108,0,5.555556,35.185185,30.555556,8.333333,15.740741,4.62963,0,0,0,0,13.851852,86.363636,7.5,,
179,123,2004,598,1114,S,0,0,0,0,0,0,0,0,0,0,0,0,0,93.103448,1.696429,,
180,123,2004,598,1124,S,105,32,8.759124,37.956204,19.708029,3.649635,5.109489,0,1.459854,0,0,23.357664,8.142857,0,0,,
181,123,2004,598,1141,S,205,6,21.800948,53.554502,12.796209,4.265403,1.895735,2.843602,0,0,0,2.843602,4.458537,0,0,,
182,123,2004,599,1113,S,211,0,8.530806,53.080569,26.066351,6.161137,5.21327,0,0.473934,0,0.473934,0,7.374408,88.636364,5.727273,,
183,123,2004,624,1127,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,,
184,123,2004,624,1122,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,
185,123,2004,641,1122,C,0,0,0,0,0,0,0,0,0,0,0,0,0,50,14.5,,
186,123,2004,683,1127,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
187,123,2004,684,1113,S,90,0,12.222222,42.222222,26.666667,8.888889,5.555556,3.333333,1.111111,0,0,0,10,98.809524,1.178571,,
188,123,2004,684,1124,S,94,21,13.913043,49.565217,9.565217,6.086957,2.608696,0,0,0,0,18.26087,3.297872,0,0,,
189,123,2004,706,1113,S,102,0,19.607843,46.078431,21.568627,3.921569,3.921569,4.901961,0,0,0,0,8.470588,100,0.406977,,
190,123,2004,706,1124,S,92,25,17.948718,43.589744,11.965812,0,2.564103,0.854701,0.854701,0.854701,0,21.367521,6.98913,0,0,,
191,123,2004,706,1127,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
192,123,2004,706,1122,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
193,123,2004,714,1142,S,52,2,14.814815,46.296296,29.62963,3.703704,0,0,0,0,1.851852,3.703704,9.865385,82.978723,9.590909,,
194,123,2004,732,1111,S,38,0,15.789474,60.526316,18.421053,0,0,5.263158,0,0,0,0,5.894737,85.714286,2.846154,,
195,123,2004,736,1111,S,52,0,7.692308,46.153846,38.461538,0,1.923077,1.923077,1.923077,0,1.923077,0,16.134615,77.777778,8.176471,,
196,123,2004,741,1143,S,46,0,10.869565,54.347826,21.73913,10.869565,2.173913,0,0,0,0,0,3.521739,89.130435,6.5,,
197,123,2004,770,1127,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
198,123,2004,699,1113,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
199,123,2004,699,1122,C,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,,
200,123,2004,912,1121,S,4,0,0,0,0,0,50,25,0,25,0,0,96,100,0,,
201,123,2004,794,1139,S,1,0,0,0,100,0,0,0,0,0,0,0,6,0,0,,
202,123,2004,794,1127,S,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,,
